Id,SalePrice
1461,118671.516
1462,157305.58
1463,190156.19
1464,190614.45
1465,194928.69
1466,174990.31
1467,174167.19
1468,165545.25
1469,182931.72
1470,124715.09
1471,199474.25
1472,94143.33
1473,96514.234
1474,154940.19
1475,123865.09
1476,391912.2
1477,253851.47
1478,273406.25
1479,273576.3
1480,510753.03
1481,328655.47
1482,209336.55
1483,168940.5
1484,169769.53
1485,176880.4
1486,196526.69
1487,322839.5
1488,230967.72
1489,197226.27
1490,212338.69
1491,190475.81
1492,90326.54
1493,171421.83
1494,294811.9
1495,292396.6
1496,234343.33
1497,182147.83
1498,158495.97
1499,154880.8
1500,146533.02
1501,168590.9
1502,142692.6
1503,299901.22
1504,240729.36
1505,221102.88
1506,185021.55
1507,254895.83
1508,206352.83
1509,161556.84
1510,143924.81
1511,150820.31
1512,171259.4
1513,134732.66
1514,150647.52
1515,198633.28
1516,155049.12
1517,163745.36
1518,134656.86
1519,223223.92
1520,134107.7
1521,139863.55
1522,172608.88
1523,116738.23
1524,124485.27
1525,124267.5
1526,110298.25
1527,103056.58
1528,134786.5
1529,149175.11
1530,168469.72
1531,103343.18
1532,96592.31
1533,143396.25
1534,127814.695
1535,157221.14
1536,107310.12
1537,58803.61
1538,150721.53
1539,185842.8
1540,90442.13
1541,143668.92
1542,137388.73
1543,207043.75
1544,76648.164
1545,109507.75
1546,126151.27
1547,134026.39
1548,135662.66
1549,112177.94
1550,132863.6
1551,114945.34
1552,125401.945
1553,144379.86
1554,107063.25
1555,161559.31
1556,82488.71
1557,106256.21
1558,96532.83
1559,76296.5
1560,135806.48
1561,137345.11
1562,130503.42
1563,122821.484
1564,168655.88
1565,143307.38
1566,236386.36
1567,72444.85
1568,220815.03
1569,134133.42
1570,141082.62
1571,122781.43
1572,150789.1
1573,255004.98
1574,107322.19
1575,219343.11
1576,230748.66
1577,189166.44
1578,146325.08
1579,148810.78
1580,197420.66
1581,150184.61
1582,125874.03
1583,324197.66
1584,225372.39
1585,143951.58
1586,73308.68
1587,93787.56
1588,150471.34
1589,101691.016
1590,138363.06
1591,97602.3
1592,119481.664
1593,121389.055
1594,122194.555
1595,110714.21
1596,237442.86
1597,184511.25
1598,209990.58
1599,180928.48
1600,174989.66
1601,66499.27
